Year;Month;Pax
2003;1;47938280
2003;2;45412146
2003;3;55001313
2003;4;51378704
2003;5;53763186
2003;6;57621020
2003;7;62001893
2003;8;60193305
2003;9;49038004
2003;10;54865753
2003;11;51905254
2003;12;55116115
2004;1;49070727
2004;2;50248226
2004;3;59952930
2004;4;58917221
2004;5;58798390
2004;6;63364913
2004;7;66797562
2004;8;64367670
2004;9;53068030
2004;10;59797453
2004;11;57165914
2004;12;58681691
2005;1;54136166
2005;2;52574472
2005;3;65803288
2005;4;61297600
2005;5;63899130
2005;6;66847187
2005;7;70263792
2005;8;66529820
2005;9;56534166
2005;10;59611848
2005;11;58410901
2005;12;59196298
2006;1;55288976
2006;2;53055051
2006;3;65507850
2006;4;62865184
2006;5;64142247
2006;6;66922182
2006;7;69178609
2006;8;66147081
2006;9;56139524
2006;10;61370000
2006;11;60025470
2006;12;60456025
2007;1;56876804
2007;2;53845014
2007;3;66891742
2007;4;64630113
2007;5;66528541
2007;6;69447429
2007;7;72153522
2007;8;71087148
2007;9;58973924
2007;10;63940976
2007;11;61660337
2007;12;60591032
2008;1;57459802
2008;2;56809646
2008;3;67470330
2008;4;62972516
2008;5;65794906
2008;6;67727316
2008;7;70233341
2008;8;67596016
2008;9;54007855
2008;10;59429066
2008;11;53825243
2008;12;57134896
2009;1;51559441
2009;2;49647629
2009;3;60758974
2009;4;59331758
2009;5;59545594
2009;6;63358198
2009;7;67868072
2009;8;64786048
2009;9;54454979
2009;10;58574489
2009;11;54593093
2009;12;56686180
2010;1;52317664
2010;2;48455029
2010;3;61955394
2010;4;59439496
2010;5;61245021
2010;6;64790347
2010;7;68194795
2010;8;66017267
2010;9;57152165
2010;10;61898533
2010;11;57930539
2010;12;58347806
2011;1;53460393
2011;2;49863476
2011;3;63382901
2011;4;60353552
2011;5;63654184
2011;6;66035331
2011;7;69694536
2011;8;66081317
2011;9;57875453
2011;10;61008771
2011;11;58091963
2011;12;58866420
2012;1;54236163
2012;2;52923579
2012;3;64260064
2012;4;61299901
2012;5;63478254
2012;6;66412465
2012;7;68987213
2012;8;67538658
2012;9;57232918
2012;10;60732331
2012;11;58554540
2012;12;58666383
2013;1;55148279
2013;2;52304270
2013;3;64891924
2013;4;60790905
2013;5;64586349
2013;6;66874432
2013;7;69019487
2013;8;67518714
2013;9;58021135
2013;10;61980604
2013;11;57423181
2013;12;62300107
2014;1;55628947
2014;2;52283230
2014;3;66265071
2014;4;63341997
2014;5;66368015
2014;6;68458782
2014;7;71746135
2014;8;69388131
2014;9;59872265
2014;10;64371103
2014;11;59627577
2014;12;63652300
2015;1;57664576
2015;2;54050800
2015;3;68081743
2015;4;65817267
2015;5;68819792
2015;6;71163523
2015;7;75523798
2015;8;72751388
2015;9;63645463
2015;10;68631650
2015;11;64482982
2015;12;66281141
2016;1;60694064
2016;2;58388033
2016;3;70439149
2016;4;67130585
2016;5;71410595
2016;6;74406863
2016;7;76786290
2016;8;73349201
2016;9;66386921
2016;10;69454651
2016;11;66528254
2016;12;67914017
2017;1;62560565
2017;2;58320914
2017;3;72897888
2017;4;70196372
2017;5;73621464
2017;6;76957359
2017;7;79764473
2017;8;77047521
2017;9;64870758
2017;10;72655345
2017;11;69590146
2017;12;70286866
2018;1;64389725
2018;2;61674791
2018;3;76247058
2018;4;73592486
2018;5;77260205
2018;6;80847057
2018;7;83931238
2018;8;80962656
2018;9;68676547
2018;10;75480626
2018;11;72712176
2018;12;72855340
2019;1;66990634
2019;2;63551231
2019;3;80181591
2019;4;76399263
2019;5;81316469
2019;6;83808577
2019;7;86925851
2019;8;83751188
2019;9;72569324
2019;10;78600600
2019;11;73057527
2019;12;79284659
2020;1;70767768
2020;2;67813206
2020;3;39058775
2020;4;3013899
2020;5;9888029
2020;6;16610992
2020;7;24053884
2020;8;25831100
2020;9;25268025
2020;10;30009436
2020;11;28757534
2020;12;30532865
2021;1;27291696
2021;2;26604490
2021;3;42796798
2021;4;47796661
2021;5;57693367
2021;6;66145224
2021;7;73772808
2021;8;66988064
2021;9;58746082
2021;10;65906829
2021;11;65777748
2021;12;66628465
2022;1;51863112
2022;2;54801918
2022;3;72489903
2022;4;71916439
2022;5;75777537
2022;6;77392138
2022;7;80375197
2022;8;76635996
2022;9;71426961
2022;10;76349699
2022;11;71896946
2022;12;71887680
2023;1;67351033
2023;2;64796891
2023;3;79803140
2023;4;77580219
2023;5;81782319
2023;6;84027126
2023;7;87810772
2023;8;83050137
2023;9;76251475
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
